encoded_destination_id,destination_movement_id,destination_display_name
933,4023,406500 (4023)
934,4024,100663 (4024)
935,4025,100662 (4025)
936,4026,101131 (4026)
937,4028,101136 (4028)
938,4031,101141 (4031)
939,4032,100653 (4032)
940,4033,100821 (4033)
941,4034,100643 (4034)
942,4037,101146 (4037)
943,4038,100826 (4038)
944,4039,101151 (4039)
945,4041,100827 (4041)
946,4043,100692 (4043)
947,4044,101157 (4044)
948,4045,100831 (4045)
949,4046,101161 (4046)
950,4047,100665 (4047)
951,4048,100835 (4048)
952,4050,101171 (4050)
953,4051,100664 (4051)
954,4052,100644 (4052)
955,4053,100813 (4053)
956,4055,101132 (4055)
957,4056,406512 (4056)
958,4057,101178 (4057)
959,4058,101135 (4058)
960,4059,100836 (4059)
961,4060,100741 (4060)
962,4064,101142 (4064)
963,4065,100731 (4065)
964,4069,100697 (4069)
965,4070,101152 (4070)
966,4071,100822 (4071)
967,4075,10069A (4075)
968,4076,101162 (4076)
969,4077,100694 (4077)
970,4080,101172 (4080)
971,4081,101133 (4081)
972,4082,100671 (4082)
973,4083,406490 (4083)
974,4084,100675 (4084)
975,4085,100742 (4085)
976,4086,101134 (4086)
977,4089,101143 (4089)
978,4090,100676 (4090)
979,4093,100825 (4093)
980,4094,406461 (4094)
981,4095,101153 (4095)
982,4096,100695 (4096)
983,4100,101163 (4100)
984,4101,100834 (4101)
985,4102,100832 (4102)
986,4103,100837 (4103)
987,4104,100812 (4104)
988,4105,101173 (4105)
989,4107,101121 (4107)
990,4108,100823 (4108)
991,4110,100732 (4110)
992,4111,100743 (4111)
993,4112,101127 (4112)
994,4114,101144 (4114)
995,4115,406502 (4115)
996,4116,100699 (4116)
997,4117,101154 (4117)
998,4118,100696 (4118)
999,4119,101156 (4119)
1000,4120,100672 (4120)
1001,4121,101164 (4121)
1002,4122,100667 (4122)
1003,4123,100744 (4123)
1004,4125,100674 (4125)
1005,4127,101174 (4127)
1006,4128,100677 (4128)
1007,4131,101126 (4131)
1008,4132,100698 (4132)
1009,4134,101145 (4134)
1010,4136,100833 (4136)
1011,4138,100838 (4138)
1012,4139,101155 (4139)
1013,4140,406491 (4140)
1014,4143,100824 (4143)
1015,4144,101165 (4144)
1016,4145,100673 (4145)
1017,4146,100733 (4146)
1018,4147,406410 (4147)
1019,4148,100666 (4148)
1020,4149,101175 (4149)
1021,4150,100701 (4150)
1022,4152,101122 (4152)
1023,4153,100704 (4153)
1024,4156,101125 (4156)
1025,4157,100681 (4157)
1026,4158,101211 (4158)
1027,4159,101216 (4159)
1028,4160,100721 (4160)
1029,4161,101201 (4161)
1030,4162,100724 (4162)
1031,4163,100683 (4163)
1032,4164,100711 (4164)
1033,4165,101166 (4165)
1034,4167,101176 (4167)
1035,4168,406462 (4168)
1036,4171,100843 (4171)
1037,4172,100841 (4172)
1038,4175,100844 (4175)
1039,4182,406492 (4182)
1040,4183,100847 (4183)
1041,4184,101215 (4184)
1042,4185,100678 (4185)
1043,4187,100679 (4187)
1044,4188,100703 (4188)
1045,4191,101202 (4191)
1046,4192,100712 (4192)
1047,4194,100955 (4194)
1048,4195,406401 (4195)
1049,4196,100702 (4196)
1050,4197,101167 (4197)
1051,4198,101123 (4198)
1052,4199,101177 (4199)
1053,4200,101111 (4200)
1054,4201,100941 (4201)
1055,4202,100682 (4202)
1056,4206,100944 (4206)
1057,4207,100846 (4207)
1058,4208,101124 (4208)
1059,4210,100713 (4210)
1060,4212,100705 (4212)
1061,4213,101203 (4213)
1062,4215,100707 (4215)
1063,4216,100842 (4216)
1064,4217,101191 (4217)
1065,4218,100845 (4218)
1066,4219,100684 (4219)
1067,4221,100686 (4221)
1068,4222,101114 (4222)
1069,4223,101113 (4223)
1070,4224,100722 (4224)
1071,4225,100848 (4225)
1072,4227,100723 (4227)
1073,4228,100714 (4228)
1074,4229,101212 (4229)
1075,4230,100706 (4230)
1076,4232,101204 (4232)
1077,4233,406480 (4233)
1078,4235,406463 (4235)
1079,4237,100852 (4237)
1080,4238,100685 (4238)
1081,4239,101196 (4239)
1082,4240,101181 (4240)
1083,4241,101185 (4241)
1084,4242,406481 (4242)
1085,4244,100851 (4244)
1086,4247,100882 (4247)
1087,4250,100854 (4250)
1088,4251,101214 (4251)
1089,4255,100864 (4255)
1090,4256,406406 (4256)
1091,4257,101205 (4257)
1092,4258,100871 (4258)
1093,4262,101112 (4262)
1094,4263,100875 (4263)
1095,4264,100881 (4264)
1096,4265,100943 (4265)
1097,4266,101117 (4266)
1098,4268,101115 (4268)
1099,4269,100855 (4269)
1100,4272,100872 (4272)
1101,4273,100893 (4273)
1102,4275,100956 (4275)
1103,4276,101206 (4276)
1104,4277,100861 (4277)
1105,4278,100942 (4278)
1106,4280,101119 (4280)
1107,4281,101118 (4281)
1108,4282,100859 (4282)
1109,4284,100874 (4284)
1110,4286,100856 (4286)
1111,4287,101116 (4287)
1112,4289,406470 (4289)
1113,4290,101213 (4290)
1114,4293,101207 (4293)
1115,4294,101192 (4294)
1116,4295,100873 (4295)
1117,4296,100863 (4296)
1118,4299,101182 (4299)
1119,4300,101101 (4300)
1120,4302,101184 (4302)
1121,4303,101105 (4303)
1122,4304,101091 (4304)
1123,4308,100891 (4308)
1124,4309,101221 (4309)
1125,4313,100862 (4313)
1126,4314,100857 (4314)
1127,4315,100953 (4315)
1128,4316,101227 (4316)
1129,4317,100858 (4317)
1130,4319,100894 (4319)
1131,4322,101195 (4322)
1132,4323,101104 (4323)
1133,4324,101222 (4324)
1134,4329,100906 (4329)
1135,4330,101226 (4330)
1136,4331,100951 (4331)
1137,4333,100895 (4333)
1138,4334,101193 (4334)
1139,4335,101102 (4335)
1140,4336,100952 (4336)
1141,4337,406464 (4337)
1142,4338,100901 (4338)
1143,4339,100934 (4339)
1144,4340,100931 (4340)
1145,4346,100902 (4346)
1146,4347,100853 (4347)
1147,4354,101103 (4354)
1148,4359,100905 (4359)
1149,4360,101223 (4360)
1150,4362,100903 (4362)
1151,4365,101225 (4365)
1152,4366,101224 (4366)
1153,4367,101093 (4367)
1154,4369,100896 (4369)
1155,4370,101183 (4370)
1156,4371,101092 (4371)
1157,4372,100915 (4372)
1158,4374,100907 (4374)
1159,4377,100892 (4377)
1160,4378,100898 (4378)
1161,4379,406381 (4379)
1162,4381,100933 (4381)
1163,4382,100932 (4382)
1164,4385,101261 (4385)
1165,4387,101194 (4387)
1166,4388,100897 (4388)
1167,4389,100908 (4389)
1168,4390,100904 (4390)
1169,4391,100916 (4391)
1170,4392,406382 (4392)
1171,4393,101241 (4393)
1172,4394,101041 (4394)
1173,4395,100971 (4395)
1174,4397,101265 (4397)
1175,4398,101231 (4398)
1176,4399,101266 (4399)
1177,4400,101232 (4400)
1178,4401,101071 (4401)
1179,4402,101081 (4402)
1180,4404,101233 (4404)
1181,4405,101234 (4405)
1182,4406,100967 (4406)
1183,4407,406365 (4407)
1184,4408,406331 (4408)
1185,4412,101235 (4412)
1186,4414,101042 (4414)
1187,4415,101262 (4415)
1188,4416,101085 (4416)
1189,4418,100965 (4418)
1190,4419,10091A (4419)
1191,4423,100911 (4423)
1192,4425,101084 (4425)
1193,4426,101082 (4426)
1194,4427,101047 (4427)
1195,4428,100919 (4428)
1196,4429,101072 (4429)
1197,4431,406350 (4431)
1198,4432,101251 (4432)
1199,4433,100966 (4433)
1200,4434,101264 (4434)
1201,4435,101046 (4435)
1202,4436,100914 (4436)
1203,4437,100964 (4437)
1204,4438,101073 (4438)
1205,4442,100921 (4442)
1206,4444,101043 (4444)
1207,4445,100912 (4445)
1208,4446,100918 (4446)
1209,4447,101083 (4447)
1210,4448,100961 (4448)
1211,4449,100963 (4449)
1212,4451,101008 (4451)
1213,4452,101001 (4452)
1214,4453,100913 (4453)
1215,4454,405351 (4454)
1216,4455,10091D (4455)
1217,4457,100917 (4457)
1218,4458,100983 (4458)
1219,4459,406351 (4459)
1220,4460,406334 (4460)
1221,4461,101007 (4461)
1222,4462,406310 (4462)
1223,4464,101263 (4464)
1224,4465,101044 (4465)
1225,4467,101045 (4467)
1226,4468,101267 (4468)
1227,4473,101066 (4473)
1228,4474,10099A (4474)
1229,4475,100981 (4475)
1230,4476,101006 (4476)
1231,4477,101065 (4477)
1232,4478,10091E (4478)
1233,4479,10091B (4479)
1234,4480,101257 (4480)
1235,4482,10091C (4482)
1236,4483,101031 (4483)
1237,4486,101034 (4486)
1238,4487,101002 (4487)
1239,4489,100982 (4489)
1240,4490,101064 (4490)
1241,4491,406332 (4491)
1242,4493,101061 (4493)
1243,4498,101067 (4498)
1244,4499,101271 (4499)
1245,4500,101277 (4500)
1246,4501,101005 (4501)
1247,4503,406312 (4503)
1248,4504,10091F (4504)
1249,4505,101252 (4505)
1250,4506,101003 (4506)
1251,4507,100984 (4507)
1252,4508,101253 (4508)
1253,4511,101004 (4511)
1254,4512,101063 (4512)
1255,4513,101276 (4513)
1256,4514,101062 (4514)
1257,4515,101255 (4515)
1258,4516,101033 (4516)
1259,4517,101032 (4517)
1260,4519,100998 (4519)
1261,4520,101254 (4520)
1262,4521,100991 (4521)
1263,4522,406302 (4522)
1264,4523,101256 (4523)
1265,4524,101052 (4524)
1266,4525,101055 (4525)
1267,4526,101051 (4526)
1268,4527,101272 (4527)
1269,4528,101275 (4528)
1270,4529,100997 (4529)
1271,4531,101021 (4531)
1272,4532,101014 (4532)
1273,4533,406230 (4533)
1274,4535,101274 (4535)
1275,4537,101054 (4537)
1276,4538,101011 (4538)
1277,4539,406340 (4539)
